id,tile,row,col,elev,aspect,slope,lat,lon,e_lv95,n_lv95,band,asp_c,slope_cls
t2_2400_N_42-55_96,2,549,681,2450.9,354.6,47.8,46.612985,8.096237,2650375.0,1162625.0,2400,N,42-55
t2_2400_NE_42-55_97,2,535,729,2407.6,29.1,45.8,46.643456,8.25335,2662375.0,1166125.0,2400,NE,42-55
t2_2400_NE_42-55_98,2,666,471,2376.0,51.8,50.3,46.351755,7.411037,2597875.0,1133375.0,2400,NE,42-55
t2_2400_E_42-55_99,2,653,627,2464.2,96.9,46.6,46.379985,7.917941,2636875.0,1136625.0,2400,E,42-55
t2_2400_SE_42-55_100,2,592,610,2469.3,119.2,48.6,46.517386,7.863774,2632625.0,1151875.0,2400,SE,42-55
t2_2400_SE_42-55_101,2,614,577,2406.8,157.5,45.8,46.468261,7.755981,2624375.0,1146375.0,2400,SE,42-55
t2_2400_S_42-55_102,2,566,731,2367.3,176.3,48.5,46.573697,8.258823,2662875.0,1158375.0,2400,S,42-55
t2_2400_SW_42-55_103,2,618,566,2477.7,215.0,45.5,46.459359,7.720132,2621625.0,1145375.0,2400,SW,42-55
t2_2400_SW_42-55_104,2,652,631,2494.7,241.2,46.5,46.382178,7.930959,2637875.0,1136875.0,2400,SW,42-55
t2_2400_W_42-55_105,2,611,697,2344.1,272.6,45.4,46.473246,8.146626,2654375.0,1147125.0,2400,W,42-55
t2_2400_NW_42-55_106,2,669,423,2410.6,293.7,49.0,46.344862,7.255167,2585875.0,1132625.0,2400,NW,42-55
t2_2400_NW_42-55_107,2,558,658,2414.6,336.4,49.1,46.593154,8.020961,2644625.0,1160375.0,2400,NW,42-55
t2_2800_N_20-30_108,2,556,714,2793.7,354.0,20.3,46.596571,8.203704,2658625.0,1160875.0,2800,N,20-30
t2_2800_NE_20-30_109,2,569,665,2790.3,24.1,28.2,46.568298,8.04352,2646375.0,1157625.0,2800,NE,20-30
t2_2800_NE_20-30_110,2,623,661,2718.4,49.2,27.2,46.44693,8.029153,2645375.0,1144125.0,2800,NE,20-30
